date,narrative,total_volume,token_count,volume_ma_3d,volume_momentum
2025-10-01,AI,140050.16999999998,5,140050.16999999998,0.9999928597526175
2025-10-02,AI,94.64,3,70072.405,0.0013505837200290182
2025-10-03,AI,94579.56,3,78241.45666666667,1.2088010017749529
2025-10-04,AI,151457.3,6,82043.83333333333,1.8460309302434237
2025-10-05,AI,171895.90999999997,7,139310.9233333333,1.2338923035948801
2025-10-06,AI,112220.57,6,145191.25999999998,0.7729101399757813
2025-10-07,AI,181416.92,4,155177.80000000002,1.1690831479557775
2025-11-08,AI,3321.1,2,98986.19666666667,0.03355080365780638
2025-10-04,DeFi,10.5,1,10.5,0.9130434782608695
2025-10-05,DeFi,0.45,1,5.475,0.0694980694980695
2025-10-07,DeFi,9.71,1,6.886666666666667,1.231191885038039
2025-10-04,Gaming,2.96,1,2.96,0.7474747474747475
2025-10-05,Gaming,12.84,1,7.9,1.442696629213483
2025-10-06,Gaming,13.04,1,9.613333333333333,1.228643216080402
2025-10-01,Meme,464892.14,9,464892.14,0.9999978489680446
2025-10-02,Meme,12115.589999999998,7,238503.86500000002,0.05079808330115194
2025-10-03,Meme,753127.0700000001,5,410044.93333333335,1.8366895237265288
2025-10-04,Meme,8046.219999999999,12,257762.96,0.031215457738932934
2025-10-05,Meme,25288.72,11,262154.00333333336,0.09646476198604181
2025-10-06,Meme,26521.45,7,19952.13,1.3291874507909285
2025-10-07,Meme,13146.050000000001,10,21652.073333333334,0.6071216680249548
2025-11-08,Meme,904.9599999999999,2,13524.153333333334,0.06690940780461885
2025-10-01,RWA,582.43,1,582.43,0.9982859983202783
2025-10-02,RWA,948.13,1,765.28,1.2373153416505716
2025-10-03,RWA,617.64,1,716.0666666666666,0.8613425065079956
2025-10-04,RWA,43.64,1,536.47,0.08119522950118147
2025-10-05,RWA,82.3,1,247.85999999999999,0.3307080286104637
2025-10-06,RWA,34.63,1,53.52333333333333,0.6351409182612949
2025-10-07,RWA,0.76,1,39.23,0.018891374596072583
2025-11-08,RWA,76.25,1,37.21333333333333,1.9953768318213538
2025-10-01,Unknown,260938988.39000002,51,260938988.39000002,0.9999999961676865
2025-10-02,Unknown,276111339.09,39,268525163.74,1.0282512603887435
2025-10-03,Unknown,320238511.01,41,285762946.16333336,1.120643925984433
2025-10-04,Unknown,165908516.72,58,254086122.2733333,0.6529617382588179
2025-10-05,Unknown,289091637.72,60,258412888.48333332,1.1187198838959052
2025-10-06,Unknown,331558887.51,59,262186347.31666663,1.2645924917095446
2025-10-07,Unknown,409670004.93,58,343440176.71999997,1.1928423973271873
2025-11-08,Unknown,191343665.45000002,24,310857519.2966666,0.6155349411119002
